x,y,width
1.861433236,1,0.18
1.872950784,1,0.18
1.884468332,1,0.18
1.895985884,1,0.18
1.907503432,1,0.18
1.91902098,1,0.18
1.930538528,1,0.18
1.942056076,1,0.18
1.953573628,1,0.18
1.965091176,1,0.18
1.976608724,1,0.18
1.988126272,1,0.18
1.999643824,1,0.18
2.011161372,1,0.18
2.02267892,1,0.18
2.034196468,1,0.18
2.045714016,1,0.18
2.057231568,1,0.18
2.068749116,1,0.18
2.080266664,1,0.18
2.091784212,1,0.18
2.10330176,1,0.18
2.114819312,1,0.18
2.12633686,1,0.18
2.137854408,1,0.18
2.149371956,1,0.18
2.160889508,1,0.18
2.172407056,1,0.18
2.183924604,1,0.18
2.195442152,1,0.18
2.2069597,1,0.18
2.218477252,1,0.18
2.2299948,1,0.18
2.241512348,1,0.18
2.253029896,1,0.18
2.264547448,1,0.18
2.276064996,1,0.18
2.287582544,1,0.18
2.299100092,1,0.18
2.31061764,1,0.18
2.322135192,1,0.18
2.33365274,1,0.18
2.345170288,1,0.18
2.356687836,1,0.18
2.368205384,1,0.18
2.379722936,1,0.18
2.391240484,1,0.18
2.402758028,0.999996196,0.18
2.414275096,0.999898104,0.18
2.425790272,0.999667376,0.18
2.437302024,0.999304036,0.18
2.448808828,0.99880814,0.18
2.460309156,0.998179748,0.18
2.471801488,0.997418944,0.18
2.483284292,0.996525828,0.18
2.494756048,0.995500524,0.18
2.506215236,0.99434316,0.18
2.517660336,0.9930539,0.18
2.529089824,0.991632904,0.18
2.540502192,0.990080368,0.18
2.55189592,0.988396496,0.18
2.563269496,0.986581508,0.18
2.574621416,0.984635648,0.18
2.585950176,0.982559176,0.18
2.597254264,0.980352364,0.18
2.608532188,0.978015504,0.18
2.619782448,0.975548908,0.18
2.631003556,0.972952908,0.18
2.64219402,0.970227836,0.18
2.653352356,0.967374068,0.18
2.66447708,0.964391972,0.18
2.675566728,0.961281944,0.18
2.686619816,0.958044404,0.18
2.697634884,0.954679776,0.18
2.708610472,0.951188508,0.18
2.71954512,0.94757106,0.18
2.73043738,0.943827916,0.18
2.741285808,0.939959572,0.18
2.752088964,0.93596654,0.18
2.762845412,0.931849348,0.18
2.773553728,0.927608544,0.18
2.784212492,0.923244692,0.18
2.794820292,0.918758368,0.18
2.805375716,0.914150168,0.18
2.815877364,0.909420704,0.18
2.826323844,0.904570604,0.18
2.836713776,0.899600512,0.18
2.847045772,0.894511084,0.18
2.857318468,0.889302996,0.18
2.867530504,0.88397694,0.18
2.877680516,0.878533624,0.18
2.887767164,0.872973764,0.18
2.897789108,0.867298108,0.18
2.907818856,0.861558004,0.18
2.917877224,0.855947144,0.18
2.927999544,0.850452504,0.18
2.938184476,0.845074808,0.18
2.948430672,0.839814772,0.18
2.958736768,0.834673096,0.18
2.969101396,0.829650456,0.18
2.979523188,0.824747524,0.18
2.990000756,0.819964948,0.18
3.000532708,0.81530336,0.18
3.011117656,0.81076338,0.18
3.021754188,0.806345616,0.18
3.032440892,0.802050644,0.18
3.043176356,0.797879044,0.18
3.053959156,0.79383136,0.18
3.064787856,0.789908132,0.18
3.075661024,0.786109884,0.18
3.086577216,0.78243712,0.18
3.097534984,0.77889032,0.18
3.108532876,0.77546996,0.18
3.119569432,0.772176496,0.18
3.130643184,0.76901036,0.18
3.141752672,0.765971972,0.18
3.152896416,0.763061736,0.18
3.164072936,0.760280044,0.18
3.175280752,0.757627256,0.18
3.18651838,0.755103728,0.18
3.197784328,0.752709792,0.18
3.2090771,0.750445772,0.18
3.220395196,0.748311964,0.18
3.231737116,0.746308648,0.18
3.24310136,0.744436096,0.18
3.254486416,0.742694556,0.18
3.265890776,0.741084252,0.18
3.277312924,0.739605404,0.18
3.288751348,0.738258204,0.18
3.300204528,0.737042836,0.18
3.311670944,0.735959456,0.18
3.32314908,0.735008212,0.18
3.334637412,0.734189228,0.18
3.346134412,0.733502612,0.18
3.357638556,0.732948456,0.18
3.369148324,0.732526836,0.18
3.38066218,0.7322378,0.18
3.392178604,0.732081396,0.18
3.403696064,0.73205764,0.18
3.415213036,0.732166532,0.18
3.426727988,0.732408064,0.18
3.438239396,0.7327822,0.18
3.449745728,0.733288892,0.18
3.461245464,0.733928072,0.18
3.472737076,0.734699656,0.18
3.484219036,0.735603544,0.18
3.495689828,0.736639608,0.18
3.507147924,0.737807716,0.18
3.518591808,0.739107716,0.18
3.53001996,0.740539432,0.18
3.541430864,0.742102672,0.18
3.552823008,0.743797232,0.18
3.56419488,0.745622888,0.18
3.575544968,0.747579396,0.18
3.586871772,0.749666496,0.18
3.598173788,0.751883908,0.18
3.609449516,0.754231344,0.18
3.620697456,0.756708492,0.18
3.631916124,0.75931502,0.18
3.643104024,0.762050584,0.18
3.65425968,0.76491482,0.18
3.665381604,0.767907352,0.18
3.676468328,0.771027776,0.18
3.687518376,0.774275688,0.18
3.698530284,0.777650644,0.18
3.709502588,0.781152208,0.18
3.72043384,0.784779912,0.18
3.731322584,0.788533268,0.18
3.74216738,0.792411788,0.18
